Código do Produto;Título;Situação;Unidade Responsável;Instrumento;[Revisar] Programa;[Revisar] Edital de Credenciamento (Programa Credenciado);[Revisar] Dimensão de Complexidade;[Revisar] Quantidade Mínima de Participantes;[Revisar] Quantidade Máxima de Participantes;[Revisar] Carga Horária Mínima (Instrutoria);[Revisar] Carga Horária Máxima (Instrutoria);[Revisar] Carga Horária Mínima (Consultoria);[Revisar] Carga Horária Máxima (Consultoria)
BA00000000434;Palestra de Venda do Gestão Financeira;Ativo no Sebrae/BA;UNIDADE DE EDUCAÇÃO EMPREENDEDORA (UEE);Palestra;1;1;0;20;100;2;2;0;0
BA00000000627;Palestra Técnica - Empresa Familiar: Como fazer a sucessão com união e sem conflitos;Ativo no Sebrae/BA;UNIDADE DE EDUCAÇÃO EMPREENDEDORA (UEE);Palestra;1;1;0;20;100;3;3;0;0
BA00000000539;Palestra Técnica – Gestão Financeira;Ativo no Sebrae/BA;UNIDADE DE EDUCAÇÃO EMPREENDEDORA (UEE);Palestra;1;1;0;20;100;3;3;0;0
BA00000000626;Palestra Técnica Comunicação Empresarial;Ativo no Sebrae/BA;UNIDADE DE EDUCAÇÃO EMPREENDEDORA (UEE);Palestra;1;1;0;20;100;3;3;0;0
BA00000000625;Palestra Técnica Educação Financeira - Sebrae Mais;Ativo no Sebrae/BA;UNIDADE DE EDUCAÇÃO EMPREENDEDORA (UEE);Palestra;1;1;0;20;100;3;3;0;0
BA00000000532;Palestra Tecnica Planejando um Futuro - Estratégias Empresariais;Ativo no Sebrae/BA;UNIDADE DE EDUCAÇÃO EMPREENDEDORA (UEE);Palestra;1;1;0;20;100;3;3;0;0
BA00000000492;Planejamento Estratégico Na medida;Ativo no Sebrae/BA;UNIDADE DE EDUCAÇÃO EMPREENDEDORA (UEE);Curso;2;1;2;10;30;16;16;0;0
BA00000000797;Planejamento Estratégico Na medida (Consultoria);Ativo no Sebrae/BA;UNIDADE DE EDUCAÇÃO EMPREENDEDORA (UEE);Consultoria;2;1;2;10;20;0;0;2;2
BA00000000807;Planejando o Futuro do Meu Negócio;Aprovado;UNIDADE DE EDUCAÇÃO EMPREENDEDORA (UEE);Palestra;7;1;0;20;100;2;2;0;0
BA00000000371;Planejando para Internacionalizar: desenhando o caminho;Ativo no Sebrae/BA;UNIDADE DE EDUCAÇÃO EMPREENDEDORA (UEE);Curso;7;1;3;15;25;16;16;0;0
BA00000000476;Plano de Marketing Avançado;Ativo no Sebrae/BA;UNIDADE DE EDUCAÇÃO EMPREENDEDORA (UEE);Curso;1;1;3;10;30;16;16;0;0
BA00000000525;Plano de Marketing Avançado;Ativo no Sebrae/BA;UNIDADE DE EDUCAÇÃO EMPREENDEDORA (UEE);Palestra;1;1;0;10;30;2;2;0;0
BA00000000630;Plano de Marketing Avançado - Consultoria;Ativo no Sebrae/BA;UNIDADE DE EDUCAÇÃO EMPREENDEDORA (UEE);Consultoria;1;1;3;10;15;0;0;4;4
BA00000000631;Plano de Marketing Avançado - Internet;Ativo no Sebrae/BA;UNIDADE DE EDUCAÇÃO EMPREENDEDORA (UEE);Consultoria;1;1;3;10;15;0;0;4;4
BA00000000644;Plano de Negócio para Começar Bem;Ativo no Sebrae/BA;UNIDADE DE EDUCAÇÃO EMPREENDEDORA (UEE);Oficina;4;1;0;20;30;6;6;0;0
BA00000000350;Qualidade Total Rural;Ativo no Sebrae/BA;UNIDADE DE EDUCAÇÃO EMPREENDEDORA (UEE);Curso;3;1;3;10;18;44;44;0;0
BA00000000259;Redes Associativas - Despertando para o Associativismo Na Medida;Ativo no Sebrae/BA;UNIDADE DE EDUCAÇÃO EMPREENDEDORA (UEE);Oficina;2;1;0;20;30;4;4;0;0
BA00000000734;Redes Associativas - Despertando para o Associativismo No Campo;Ativo no Sebrae/BA;UNIDADE DE EDUCAÇÃO EMPREENDEDORA (UEE);Oficina;3;1;0;20;30;4;4;0;0
BA00000000330;Redes Associativas - Legalizando o Empreendimento Coletivo Na Media;Ativo no Sebrae/BA;UNIDADE DE EDUCAÇÃO EMPREENDEDORA (UEE);Curso;2;1;2;20;30;16;16;0;0
BA00000000764;Redes Associativas - Legalizando o Empreendimento Coletivo No Campo;Ativo no Sebrae/BA;UNIDADE DE EDUCAÇÃO EMPREENDEDORA (UEE);Curso;3;1;2;20;30;0;0;0;0
BA00000000329;Redes Associativas - Planejando Nosso Empreendimento Coletivo Na Medida;Ativo no Sebrae/BA;UNIDADE DE EDUCAÇÃO EMPREENDEDORA (UEE);Curso;2;1;2;20;30;20;20;0;0
BA00000000765;Redes Associativas - Planejando Nosso Empreendimento Coletivo No Campo;Ativo no Sebrae/BA;UNIDADE DE EDUCAÇÃO EMPREENDEDORA (UEE);Curso;3;1;2;20;30;20;20;0;0
BA00000000143;Redes Associativas - Praticando o Associativismo Na Medida;Ativo no Sebrae/BA;UNIDADE DE EDUCAÇÃO EMPREENDEDORA (UEE);Curso;2;1;2;20;30;16;16;0;0
BA00000000766;Redes Associativas - Praticando o Associativismo No Campo;Ativo no Sebrae/BA;UNIDADE DE EDUCAÇÃO EMPREENDEDORA (UEE);Curso;3;1;2;20;30;16;16;0;0
BA00000000356;Sabor e Gestão - Boas Idéias para Alimentação Fora do Lar - Kit Educativo;Ativo no Sebrae/BA;UNIDADE DE EDUCAÇÃO EMPREENDEDORA (UEE);Curso;7;1;2;20;30;24;24;0;0
BA00000000639;Sebrae Mais - Orientações Financeiras.;Ativo no Sebrae/BA;UNIDADE DE EDUCAÇÃO EMPREENDEDORA (UEE);Consultoria;1;1;3;1;1;0;0;20;20
BA00000000446;SEI Comprar;Ativo no Sebrae/BA;UNIDADE DE EDUCAÇÃO EMPREENDEDORA (UEE);Oficina;5;1;0;20;30;4;4;0;0
BA00000000445;SEI Controlar o Meu Dinheiro 1º Encontro;Ativo no Sebrae/BA;UNIDADE DE EDUCAÇÃO EMPREENDEDORA (UEE);Oficina;5;1;0;20;30;4;4;0;0
BA00000000536;SEI Controlar o Meu Dinheiro 2º Encontro;Ativo no Sebrae/BA;UNIDADE DE EDUCAÇÃO EMPREENDEDORA (UEE);Oficina;5;1;0;20;30;2;2;0;0
BA00000000648;SEI Crescer;Ativo no Sebrae/BA;UNIDADE DE EDUCAÇÃO EMPREENDEDORA (UEE);Oficina;5;1;0;20;30;4;4;0;0
BA00000000447;SEI Empreender;Ativo no Sebrae/BA;UNIDADE DE EDUCAÇÃO EMPREENDEDORA (UEE);Oficina;5;1;0;20;30;4;4;0;0
BA00000000649;SEI Formar Preço;Ativo no Sebrae/BA;UNIDADE DE EDUCAÇÃO EMPREENDEDORA (UEE);Oficina;5;1;0;20;30;4;4;0;0
BA00000000456;SEI Planejar;Ativo no Sebrae/BA;UNIDADE DE EDUCAÇÃO EMPREENDEDORA (UEE);Oficina;5;1;0;20;30;4;4;0;0
BA00000000448;SEI Unir Forças para Melhorar;Ativo no Sebrae/BA;UNIDADE DE EDUCAÇÃO EMPREENDEDORA (UEE);Oficina;5;1;0;20;30;4;4;0;0
BA00000000444;SEI Vender!;Ativo no Sebrae/BA;UNIDADE DE EDUCAÇÃO EMPREENDEDORA (UEE);Oficina;5;1;0;20;30;4;4;0;0
BA00000000533;Transforme sua Ideia em Modelo de Negócios para Começar Bem;Ativo no Sebrae/BA;UNIDADE DE EDUCAÇÃO EMPREENDEDORA (UEE);Curso;4;1;2;20;30;12;12;0;0
BA00000000207;Treinamento Gerencial Básico - TGB (15 H);Ativo no Sebrae/BA;UNIDADE DE EDUCAÇÃO EMPREENDEDORA (UEE);Curso;7;1;2;20;30;15;15;0;0
BA00000000489;Tributação Na Medida;Ativo no Sebrae/BA;UNIDADE DE EDUCAÇÃO EMPREENDEDORA (UEE);Palestra;2;1;0;20;0;2;2;0;0
BA00000000867;Tributação Na Medida para Microempresa;Ativo no Sebrae/BA;UNIDADE DE EDUCAÇÃO EMPREENDEDORA (UEE);Curso;2;1;2;10;30;15;15;0;0
BA00000000869;Tributação Na Medida para Microempresa - Consultoria;Ativo no Sebrae/BA;UNIDADE DE EDUCAÇÃO EMPREENDEDORA (UEE);Consultoria;2;1;2;10;20;0;0;2;2
BA00000000998;Tudo em dia! O MEI em dia com suas obrigações;Ativo no Sebrae/BA;UNIDADE DE EDUCAÇÃO EMPREENDEDORA (UEE);Palestra;7;1;2;20;100;2;2;0;0
BA00000000522;Vender para o governo No Campo;Ativo no Sebrae/BA;UNIDADE DE EDUCAÇÃO EMPREENDEDORA (UEE);Palestra;3;1;0;20;100;2;2;0;0
